DeviceName,Manufacturer,Model,ModelFriendlyName,WarrantyStartDate,WarrantyEndDate,WarrantyState,SerialNumber,OperatingSystem,OSVersion,UserName,Email,UserCity,UserCountry,UserOfficeLocation,ComplianceStatus,Encrypted,OwnerType,EnrollmentType,LastSync,DefenderState,DefenderRealTimeProtection,DefenderSignatureOverdue,DefenderTamperProtection,DefenderLastReported,SnapshotDate
WIN-US-1001,Dell Inc.,Latitude 7440,N/A,N/A,N/A,N/A,GYUHW3A3,Windows,10.0.22631.3447,Priya Garcia,priya.garcia@contoso.com,Madrid,Spain,Madrid Office,Noncompliant,true,personal,windowsAzureADJoin,2026-06-27T08:00:00Z,Active,true,false,true,2026-07-09T01:00:00Z,2026-07-15
WIN-IN-1002,Lenovo,21CB,ThinkPad T14 Gen 3,2023-07-14,2026-07-13,Expired,X6NGCY29,Windows,10.0.19045.3930,Sofia Nieminen,sofia.nieminen@contoso.com,Bengaluru,India,Bengaluru Office,Compliant,true,company,windowsAzureADJoin,2026-06-25T18:00:00Z,Active,true,false,true,2026-07-06T04:00:00Z,2026-07-15
WIN-NL-1003,Microsoft Corporation,Surface Pro 9,N/A,N/A,N/A,N/A,XUZ42HBL,Windows,10.0.22631.3447,Ingrid Patel,ingrid.patel@contoso.com,Munich,Germany,Munich Office,Compliant,true,company,windowsAzureADJoin,2026-07-08T01:00:00Z,Active,true,false,true,2026-07-05T04:00:00Z,2026-07-15
WIN-US-1004,Lenovo,20XW,ThinkPad L15,2023-03-15,2026-03-14,Expired,TDBDX2QC,Windows,10.0.19045.3930,Yuki Kaur,yuki.kaur@contoso.com,Munich,Germany,Munich Office,Compliant,true,company,appleBulkWithoutUser,2026-06-20T10:00:00Z,Active,true,false,true,2026-07-13T13:00:00Z,2026-07-15
WIN-IN-1005,Dell Inc.,Latitude 5540,N/A,N/A,N/A,N/A,091TDX4T,Windows,10.0.22000.2836,Ravi Virtanen,ravi.virtanen@contoso.com,Pune,India,Pune DC,Compliant,false,personal,appleBulkWithoutUser,2026-06-30T20:00:00Z,Active,true,false,true,2026-07-05T16:00:00Z,2026-07-15
WIN-US-1006,Lenovo,21CB,ThinkPad T14 Gen 3,2023-06-15,2026-06-14,Expired,39UEY8FT,Windows,10.0.22000.2836,Aino Costa,aino.costa@contoso.com,Austin,United States,Austin Office,Compliant,false,company,appleBulkWithoutUser,2026-07-05T03:00:00Z,Active,true,false,false,2026-07-09T20:00:00Z,2026-07-15
MAC-DE-1007,Apple,"MacBookPro18,3",N/A,N/A,N/A,N/A,MWHHCXH6,macOS,13.6.4,Yuki Novak,yuki.novak@contoso.com,Pune,India,Pune DC,Compliant,true,company,deviceEnrollmentManager,2026-07-12T15:00:00Z,N/A,N/A,N/A,N/A,N/A,2026-07-15
WIN-SE-1008,Lenovo,21CB,ThinkPad T14 Gen 3,2023-03-09,2026-03-08,Expired,P5BYXC03,Windows,10.0.22631.3447,Arjun Wang,arjun.wang@contoso.com,Munich,Germany,Munich Office,Noncompliant,true,company,deviceEnrollmentManager,2026-06-25T04:00:00Z,Active,true,false,true,2026-07-10T12:00:00Z,2026-07-15
WIN-US-1009,Lenovo,21CB,ThinkPad T14 Gen 3,2023-04-04,2026-04-03,Expired,74FSHPBN,Windows,10.0.22000.2836,Noah Berg,noah.berg@contoso.com,Munich,Germany,Munich Office,Compliant,true,personal,windowsAutoEnrollment,2026-06-21T21:00:00Z,Active,true,false,false,2026-07-14T01:00:00Z,2026-07-15
WIN-IN-1010,Lenovo,21JK,ThinkPad P16v,2023-03-21,2026-03-20,Expired,BT4CC5P8,Windows,10.0.22631.3447,Ravi Silva,ravi.silva@contoso.com,Amsterdam,Netherlands,Amsterdam Hub,Compliant,true,company,windowsAzureADJoin,2026-07-01T23:00:00Z,Active,true,false,true,2026-07-13T08:00:00Z,2026-07-15
WIN-DE-1011,Dell Inc.,Latitude 7440,N/A,N/A,N/A,N/A,1CR99CHK,Windows,10.0.22000.2836,Omar Ivanov,omar.ivanov@contoso.com,Helsinki,Finland,Helsinki Office,Compliant,true,company,appleBulkWithoutUser,2026-07-05T04:00:00Z,Active,true,false,true,2026-07-05T03:00:00Z,2026-07-15
