DeviceName,PrimaryUserEmail,ManagerDepartment,City,Country,AssignedLicenses,LicenseGap,LastIntuneSync,SnapshotDate
WIN-DE-1000,marco.wang@contoso.com,Sales,Munich,Germany,Office 365 E3,Intune,2026-07-01,2026-07-15
WIN-US-1001,elin.kaur@contoso.com,IT,Austin,United States,M365 Business Premium,Intune,2026-06-23,2026-07-15
WIN-NL-1002,liam.kaur@contoso.com,HR,Amsterdam,Netherlands,M365 Business Premium,Intune,2026-06-26,2026-07-15
WIN-ES-1003,eero.costa@contoso.com,Sales,Madrid,Spain,M365 E3 + EMS,Windows Enterprise,2026-06-20,2026-07-15
WIN-US-1004,ingrid.costa@contoso.com,R&D,Austin,United States,(none),Intune,2026-06-19,2026-07-15
WIN-SE-1005,aino.patel@contoso.com,R&D,Stockholm,Sweden,(none),Both,2026-06-25,2026-07-15
WIN-FI-1006,lucas.lehto@contoso.com,Finance,Helsinki,Finland,M365 Business Premium,Windows Enterprise,2026-06-25,2026-07-15
WIN-CA-1007,diego.rossi@contoso.com,Sales,Toronto,Canada,M365 Business Premium,Both,2026-07-06,2026-07-15
WIN-FI-1008,nina.wang@contoso.com,Engineering,Helsinki,Finland,M365 Business Premium,Windows Enterprise,2026-06-09,2026-07-15
WIN-NL-1009,ingrid.silva@contoso.com,Marketing,Amsterdam,Netherlands,M365 E3,Both,2026-07-15,2026-07-15
WIN-SE-1010,ingrid.jansen@contoso.com,Legal,Stockholm,Sweden,Office 365 E3,Intune,2026-07-06,2026-07-15
WIN-FI-1011,ravi.berg@contoso.com,Marketing,Helsinki,Finland,M365 Business Premium,Intune,2026-07-06,2026-07-15
WIN-DE-1012,arjun.sharma@contoso.com,Engineering,Munich,Germany,M365 E3,Intune,2026-06-05,2026-07-15
WIN-DE-1013,lucas.virtanen@contoso.com,Marketing,Munich,Germany,(none),Windows Enterprise,2026-07-14,2026-07-15
WIN-US-1014,arjun.berg@contoso.com,Operations,Austin,United States,Office 365 E3,Windows Enterprise,2026-07-02,2026-07-15
WIN-US-1015,aino.wang@contoso.com,R&D,Austin,United States,(none),Both,2026-06-27,2026-07-15
WIN-US-1016,priya.muller@contoso.com,Legal,Austin,United States,Office 365 E3,Windows Enterprise,2026-07-06,2026-07-15
WIN-CA-1017,omar.sharma@contoso.com,Operations,Toronto,Canada,(none),Both,2026-07-05,2026-07-15
WIN-US-1018,marco.berg@contoso.com,Operations,Austin,United States,Office 365 E3,Intune,2026-07-01,2026-07-15
WIN-US-1019,eero.muller@contoso.com,R&D,Austin,United States,M365 E3,Windows Enterprise,2026-07-11,2026-07-15
WIN-FI-1020,sofia.lehto@contoso.com,R&D,Helsinki,Finland,Office 365 E3,Intune,2026-06-14,2026-07-15
WIN-ES-1021,liam.garcia@contoso.com,R&D,Madrid,Spain,(none),Intune,2026-07-04,2026-07-15
WIN-NL-1022,eero.patel@contoso.com,Operations,Amsterdam,Netherlands,Office 365 E3,Windows Enterprise,2026-07-12,2026-07-15
WIN-NL-1023,priya.virtanen@contoso.com,HR,Amsterdam,Netherlands,Office 365 E3,Intune,2026-07-15,2026-07-15
WIN-NL-1024,olivia.smith@contoso.com,IT,Amsterdam,Netherlands,Office 365 E3,Intune,2026-06-26,2026-07-15
WIN-SE-1025,lucas.sharma@contoso.com,R&D,Stockholm,Sweden,M365 E3,Intune,2026-06-15,2026-07-15
WIN-DE-1026,olivia.wang@contoso.com,IT,Munich,Germany,(none),Windows Enterprise,2026-06-30,2026-07-15
WIN-ES-1027,ingrid.smith@contoso.com,R&D,Madrid,Spain,(none),Windows Enterprise,2026-06-09,2026-07-15
WIN-DE-1028,olivia.virtanen@contoso.com,Engineering,Munich,Germany,M365 Business Premium,Intune,2026-07-13,2026-07-15
WIN-CA-1029,olivia.jansen@contoso.com,Legal,Toronto,Canada,(none),Intune,2026-06-16,2026-07-15
WIN-CA-1030,liam.kaur@contoso.com,HR,Toronto,Canada,M365 E3 + EMS,Windows Enterprise,2026-06-08,2026-07-15
WIN-IN-1031,sofia.muller@contoso.com,IT,Pune,India,Office 365 E3,Windows Enterprise,2026-06-11,2026-07-15
WIN-NL-1032,eero.rossi@contoso.com,Sales,Amsterdam,Netherlands,M365 E3,Windows Enterprise,2026-06-11,2026-07-15
WIN-FI-1033,noah.kaur@contoso.com,R&D,Helsinki,Finland,M365 E3,Windows Enterprise,2026-06-17,2026-07-15
WIN-ES-1034,elin.korhonen@contoso.com,Operations,Madrid,Spain,M365 E3 + EMS,Windows Enterprise,2026-07-11,2026-07-15
WIN-DE-1035,diego.jansen@contoso.com,Engineering,Munich,Germany,(none),Both,2026-06-24,2026-07-15
WIN-FI-1036,priya.jansen@contoso.com,Legal,Helsinki,Finland,M365 E3 + EMS,Windows Enterprise,2026-06-26,2026-07-15
WIN-SE-1037,ravi.garcia@contoso.com,HR,Stockholm,Sweden,M365 E3 + EMS,Both,2026-06-29,2026-07-15
WIN-DE-1038,emma.korhonen@contoso.com,Engineering,Munich,Germany,M365 E3 + EMS,Intune,2026-07-03,2026-07-15
WIN-SE-1039,diego.lehto@contoso.com,Sales,Stockholm,Sweden,M365 E3 + EMS,Both,2026-06-25,2026-07-15
WIN-FI-1040,eero.rossi@contoso.com,Finance,Helsinki,Finland,Office 365 E3,Intune,2026-06-21,2026-07-15
WIN-ES-1041,diego.korhonen@contoso.com,HR,Madrid,Spain,Office 365 E3,Intune,2026-06-28,2026-07-15
WIN-IN-1042,liam.smith@contoso.com,Marketing,Pune,India,M365 E3 + EMS,Intune,2026-06-21,2026-07-15
WIN-IN-1043,yuki.lehto@contoso.com,Operations,Pune,India,M365 E3,Windows Enterprise,2026-06-19,2026-07-15
WIN-ES-1044,sofia.smith@contoso.com,Legal,Madrid,Spain,M365 E3,Intune,2026-06-22,2026-07-15
WIN-US-1045,yuki.patel@contoso.com,HR,Austin,United States,(none),Both,2026-07-04,2026-07-15
WIN-FI-1046,diego.muller@contoso.com,Sales,Helsinki,Finland,M365 Business Premium,Intune,2026-07-13,2026-07-15
WIN-FI-1047,noah.jansen@contoso.com,IT,Helsinki,Finland,M365 E3 + EMS,Intune,2026-06-18,2026-07-15
WIN-SE-1048,ingrid.korhonen@contoso.com,Marketing,Stockholm,Sweden,M365 E3,Intune,2026-07-06,2026-07-15
WIN-SE-1049,marco.korhonen@contoso.com,Finance,Stockholm,Sweden,M365 E3 + EMS,Both,2026-06-21,2026-07-15
WIN-IN-1050,eero.patel@contoso.com,Sales,Pune,India,(none),Both,2026-07-13,2026-07-15
WIN-DE-1051,olivia.sharma@contoso.com,HR,Munich,Germany,M365 E3,Intune,2026-06-18,2026-07-15
