DeviceName,PrimaryUser,UserDisplayName,Department,JobTitle,OfficeLocation,City,Country,CountryCode,AccountStatus,AIAgentName,AIAgentCategory,AIAgentSanctioned,DetectionSignals,IsPrimaryDeviceRow,AgentCountOnDevice,HasUnsanctionedAI,ScanStatus,DetectionState,OperatingSystem,OSVersion,LastSyncDate,LastSyncDaysAgo,IsActiveLast14Days,LastDetectionDate,SnapshotDate
WIN-FI-2001,mateo.patel@contoso.com,Mateo Patel,IT,Systems Engineer,Helsinki HQ,Helsinki,Finland,FI,Disabled,None,None,Sanctioned,,Yes,0,No,Scanned,clean,Windows,10.0.22631.3447,2026-06-22,23,No,2026-07-06,2026-07-15
WIN-FI-2002,sara.jansen@contoso.com,Sara Jansen,Engineering,Software Engineer,Helsinki Office,Helsinki,Finland,FI,Enabled,Microsoft Copilot,Chat client,Sanctioned,appx,Yes,1,No,Scanned,detected,Windows,10.0.22631.3447,2026-06-30,15,No,2026-07-14,2026-07-15
WIN-US-2003,sofia.muller@contoso.com,Sofia Muller,Engineering,Software Engineer,Austin Office,Austin,United States,US,Disabled,GPT4All,LLM runtime,Unsanctioned,process:ollama.exe,Yes,2,Yes,Scanned,detected,Windows,10.0.22621.3296,2026-07-13,2,Yes,2026-07-07,2026-07-15
WIN-US-2003,sofia.muller@contoso.com,Sofia Muller,Engineering,Software Engineer,Austin Office,Austin,United States,US,Disabled,ChatGPT Desktop,Chat client,Unsanctioned,appx,No,2,Yes,Scanned,detected,Windows,10.0.22621.3296,2026-07-13,2,Yes,2026-07-07,2026-07-15
WIN-IN-2004,sofia.rossi@contoso.com,Sofia Rossi,R&D,Research Engineer,Pune DC,Pune,India,IN,Enabled,GitHub Copilot,Coding assistant,Sanctioned,vscode-ext,Yes,1,No,Scanned,detected,Windows,10.0.22621.3296,2026-06-22,23,No,2026-07-14,2026-07-15
WIN-US-2005,marco.jansen@contoso.com,Marco Jansen,Operations,Ops Specialist,Austin Office,Austin,United States,US,Enabled,LM Studio,LLM runtime,Unsanctioned,process:ollama.exe,Yes,1,Yes,Scanned,detected,Windows,10.0.22000.2836,2026-06-08,37,No,2026-07-08,2026-07-15
WIN-ES-2006,priya.andersson@contoso.com,Priya Andersson,Marketing,Marketing Manager,Madrid Office,Madrid,Spain,ES,Enabled,GitHub Copilot,Coding assistant,Sanctioned,vscode-ext,Yes,3,Yes,Scanned,detected,Windows,10.0.22000.2836,2026-06-27,18,No,2026-07-06,2026-07-15
WIN-ES-2006,priya.andersson@contoso.com,Priya Andersson,Marketing,Marketing Manager,Madrid Office,Madrid,Spain,ES,Enabled,Cursor,Coding assistant,Unsanctioned,process,No,3,Yes,Scanned,detected,Windows,10.0.22000.2836,2026-06-27,18,No,2026-07-06,2026-07-15
WIN-ES-2006,priya.andersson@contoso.com,Priya Andersson,Marketing,Marketing Manager,Madrid Office,Madrid,Spain,ES,Enabled,ChatGPT Desktop,Chat client,Unsanctioned,reg:Uninstall,No,3,Yes,Scanned,detected,Windows,10.0.22000.2836,2026-06-27,18,No,2026-07-06,2026-07-15
WIN-FI-2007,diego.silva@contoso.com,Diego Silva,Engineering,Software Engineer,Helsinki Office,Helsinki,Finland,FI,Enabled,Perplexity,Browser AI,Unsanctioned,process,Yes,1,Yes,Scanned,detected,Windows,10.0.19045.4046,2026-06-24,21,No,2026-07-10,2026-07-15
WIN-ES-2008,liam.andersson@contoso.com,Liam Andersson,Marketing,Marketing Manager,Madrid Office,Madrid,Spain,ES,Enabled,Msty,Chat client,Unsanctioned,process,Yes,1,Yes,Scanned,detected,Windows,10.0.22631.3447,2026-07-12,3,Yes,2026-07-11,2026-07-15
WIN-FI-2009,olivia.kaur@contoso.com,Olivia Kaur,Legal,Counsel,Helsinki HQ,Helsinki,Finland,FI,Enabled,None,None,Sanctioned,,Yes,0,No,Scanned,clean,Windows,10.0.19045.4046,2026-07-05,10,Yes,2026-07-06,2026-07-15
WIN-IN-2010,eero.jansen@contoso.com,Eero Jansen,Marketing,Marketing Manager,Pune DC,Pune,India,IN,Enabled,None,None,Sanctioned,,Yes,0,No,Scanned,clean,Windows,10.0.22000.2836,2026-06-20,25,No,2026-07-08,2026-07-15
WIN-SE-2011,nina.kaur@contoso.com,Nina Kaur,R&D,Research Engineer,Stockholm Office,Stockholm,Sweden,SE,Enabled,Jan,Chat client,Unsanctioned,appx,Yes,1,Yes,Scanned,detected,Windows,10.0.22000.2836,2026-06-10,35,No,2026-07-11,2026-07-15
WIN-FI-2012,yuki.muller@contoso.com,Yuki Muller,Finance,Financial Analyst,Helsinki Office,Helsinki,Finland,FI,Enabled,None,None,Sanctioned,,Yes,0,No,Scanned,clean,Windows,10.0.22621.3296,2026-06-03,42,No,2026-07-12,2026-07-15
WIN-SE-2013,elin.sharma@contoso.com,Elin Sharma,Marketing,Marketing Manager,Stockholm Office,Stockholm,Sweden,SE,Disabled,Jan,Chat client,Unsanctioned,reg:Uninstall,Yes,1,Yes,Scanned,detected,Windows,10.0.22000.2836,2026-06-11,34,No,2026-07-10,2026-07-15
