DeviceName,PrimaryUser,Country,OfficeLocation,Manufacturer,Model1,Windows11ReadinessState,Windows11ReadinessReason,TPMCheckFailed,SecureBootCheckFailed,RamCheckFailed,StorageCheckFailed,ProcessorFamilyCheckFailed,OperatingSystem,LastSyncDate,SnapshotDate
WIN-US-1000,Emma Sharma,United States,Austin Office,Lenovo,ThinkPad X1 Carbon,Capable,Capable,false,false,false,false,false,Windows 10,2026-06-21,2026-07-15
WIN-DE-1001,Emma Andersson,Germany,Munich Office,Lenovo,Surface Laptop 5,Capable,Capable,false,false,false,false,false,Windows 10,2026-06-21,2026-07-15
WIN-IN-1002,Olivia Korhonen,India,Pune DC,Dell Inc.,EliteBook 840,Capable,Capable,false,false,false,false,false,Windows 10,2026-07-12,2026-07-15
WIN-NL-1003,Liam Rossi,Netherlands,Amsterdam Hub,Dell Inc.,ThinkPad T14,Not capable,CPU not supported,false,false,false,false,true,Windows 10,2026-06-18,2026-07-15
WIN-US-1004,Arjun Muller,United States,Austin Office,Lenovo,EliteBook 840,Not capable,TPM 2.0 not detected,true,false,false,false,false,Windows 10,2026-06-19,2026-07-15
WIN-US-1005,Arjun Andersson,United States,Austin Office,Microsoft Corporation,ThinkPad T14,Capable,Capable,false,false,false,false,false,Windows 10,2026-07-06,2026-07-15
WIN-NL-1006,Olivia Silva,Netherlands,Amsterdam Hub,Dell Inc.,ThinkPad X1 Carbon,Capable,Capable,false,false,false,false,false,Windows 10,2026-06-19,2026-07-15
WIN-ES-1007,Liam Silva,Spain,Madrid Office,Lenovo,Precision 3591,Capable,Capable,false,false,false,false,false,Windows 10,2026-07-01,2026-07-15
WIN-DE-1008,Diego Andersson,Germany,Munich Office,HP,EliteBook 840,Capable,Capable,false,false,false,false,false,Windows 10,2026-06-28,2026-07-15
WIN-NL-1009,Yuki Rossi,Netherlands,Amsterdam Hub,Dell Inc.,Surface Laptop 5,Capable,Capable,false,false,false,false,false,Windows 10,2026-07-05,2026-07-15
WIN-CA-1010,Yuki Andersson,Canada,Toronto Office,Lenovo,ThinkPad X1 Carbon,Capable,Capable,false,false,false,false,false,Windows 10,2026-06-21,2026-07-15
